110	Economic Development, Environment and Tourism	\N	2020-05-29 20:13:35.364615	2020-05-29 20:13:35.364615	\N	ProvincialAgency	6	\N
111	Education	\N	2020-05-29 20:13:35.366378	2020-05-29 20:13:35.366378	\N	ProvincialAgency	6	\N
112	Health	\N	2020-05-29 20:13:35.367958	2020-05-29 20:13:35.367958	\N	ProvincialAgency	6	\N
113	Provincial Treasury	\N	2020-05-29 20:13:35.371261	2020-05-29 20:13:35.371261	\N	ProvincialAgency	6	\N
114	Public Works, Roads and Infrastructure	\N	2020-05-29 20:13:35.374066	2020-05-29 20:13:35.374066	\N	ProvincialAgency	6	\N
115	Social Development	\N	2020-05-29 20:13:35.376643	2020-05-29 20:13:35.376643	\N	ProvincialAgency	6	\N
116	Sport, Arts and Culture	\N	2020-05-29 20:13:35.378631	2020-05-29 20:13:35.378631	\N	ProvincialAgency	6	\N
117	Transport and Community Safety	\N	2020-05-29 20:13:35.380998	2020-05-29 20:13:35.380998	\N	ProvincialAgency	6	\N
118	Agriculture, Rural Development, Land and Environmental Affairs	\N	2020-05-29 20:13:35.383459	2020-05-29 20:13:35.383459	\N	ProvincialAgency	2	\N
119	Co-operative Governance and Traditional Affairs	\N	2020-05-29 20:13:35.385825	2020-05-29 20:13:35.385825	\N	ProvincialAgency	2	\N
120	Community Safety, Security and Liaison	\N	2020-05-29 20:13:35.388256	2020-05-29 20:13:35.388256	\N	ProvincialAgency	2	\N
121	Culture, Sport and Recreation	\N	2020-05-29 20:13:35.390589	2020-05-29 20:13:35.390589	\N	ProvincialAgency	2	\N
122	Economic Development and Tourism	\N	2020-05-29 20:13:35.39963	2020-05-29 20:13:35.39963	\N	ProvincialAgency	2	\N
123	Education	\N	2020-05-29 20:13:35.40202	2020-05-29 20:13:35.40202	\N	ProvincialAgency	2	\N
124	Health	\N	2020-05-29 20:13:35.403911	2020-05-29 20:13:35.403911	\N	ProvincialAgency	2	\N
125	Human Settlements	\N	2020-05-29 20:13:35.405942	2020-05-29 20:13:35.405942	\N	ProvincialAgency	2	\N
126	Provincial Treasury	\N	2020-05-29 20:13:35.407825	2020-05-29 20:13:35.407825	\N	ProvincialAgency	2	\N
127	Public Works, Roads and Transport	\N	2020-05-29 20:13:35.409557	2020-05-29 20:13:35.409557	\N	ProvincialAgency	2	\N
128	Social Development	\N	2020-05-29 20:13:35.411379	2020-05-29 20:13:35.411379	\N	ProvincialAgency	2	\N
129	Agriculture and Rural Development	\N	2020-05-29 20:13:35.413152	2020-05-29 20:13:35.413152	\N	ProvincialAgency	3	\N
130	Arts, Culture, Sports and Recreation	\N	2020-05-29 20:13:35.4151	2020-05-29 20:13:35.4151	\N	ProvincialAgency	3	\N
131	Community Safety and Transport Management	\N	2020-05-29 20:13:35.416886	2020-05-29 20:13:35.416886	\N	ProvincialAgency	3	\N
132	Cooperative Governance, Human Settlements and Traditional Affairs	\N	2020-05-29 20:13:35.419179	2020-05-29 20:13:35.419179	\N	ProvincialAgency	3	\N
133	Economic Development, Environment, Conservation and Tourism	\N	2020-05-29 20:13:35.422054	2020-05-29 20:13:35.422054	\N	ProvincialAgency	3	\N
134	Education	\N	2020-05-29 20:13:35.42477	2020-05-29 20:13:35.42477	\N	ProvincialAgency	3	\N
135	Health	\N	2020-05-29 20:13:35.427657	2020-05-29 20:13:35.427657	\N	ProvincialAgency	3	\N
